country,S&P Rating,Rating Numeric Equivalent,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Bulgaria,BBB,10,111002,7085,65.3,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117,119,26088,28875,-2787,196,-0.6,73.9,-0.3,33.7,8.3,8.4,4,4.1,474,103
Burkina Faso,B,4,272967,19193,70.2,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,131,134,2019,3699,-1680,-998,3,29.9,5.9,32.7,64.8,5,0,4.1,123,9
Cambodia,B,4,181035,16005,90.7,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,0.3,175,177,13204,15313,-2109,-1657,1.6,20.7,2.6,0.3,29.9,5.7,0.2,1.9,178,17
Cameroon,B-,3,475650,24054,50.9,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155,160,2130,4899,-2768,-1173,2.7,54.4,3.6,544.9,67.5,4.1,0,3,408,14
Canada,AAA,18,9984670,36624,4,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109,109,388911,402954,-14043,-53083,1,81.8,1.2,155.8,4.7,10.4,2.5,5.3,19276,324
Chile,A,13,756102,18055,24.3,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,3.7,7.4,7.8,...,4.9,540,85
China,A+,14,9600000,1409517,150.1,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,132,133,2118981,1588696,530285,330602,0.5,55.6,3,301.7,11.6,5.5,1.5,-99,101394,87
Colombia,BB+,8,1141748,49066,44.2,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,10.5,114,115,31045,44831,-13786,-18922,1,76.4,1.7,7127,17.9,7.2,...,4.5,5380,31
Congo,CCC+,0,342000,5261,15.4,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,11.5,106,106,2540,9793,-7253,...,2.6,65.4,3.2,54.9,46.5,5.2,...,...,648,24
Cook Islands,B+,5,236,17,72.4,294,5.5,14118.7,8.1,9,82.9,4.3,11.7,84,8.2,91,91,14,98,-84,-99,-1.2,74.5,0.9,-99,3.6,3.4,...,3.9,-99,48
Costa Rica,B,4,51100,4906,96.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127,129,9908,15322,-5414,-2493,1.1,76.8,2.7,10.1,9.3,9.3,1.2,7.2,110,44
Croatia,BBB-,9,56594,4189,74.9,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64,11.7,91,91,13648,21830,-8182,2492,-0.4,59,0.1,15.5,3.9,7.8,3.1,4.6,182,79
Cyprus,BBB-,9,9251,1180,127.7,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,80,80,1920,6604,-4684,-576,0.9,66.9,0.9,16.2,4.2,7.4,2.5,6.1,5,72
Czechia,AA-,15,78868,10618,137.5,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,3.9,102,102,161248,140316,20932,1683,0.1,73,0.3,6,2.5,7.4,3.7,4.1,1221,164
Denmark,AAA,18,42921,5734,135.1,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6,105,105,94355,85133,9222,27582,0.5,87.7,0.6,48.2,3.5,10.8,3.6,8.6,666,119
Dominican Republic,BB-,6,48671,10767,222.8,67103,7,6373.6,6.6,28,65.4,13.1,16.9,70,14.4,136,138,3747,22725,-18978,-1335,1.2,79,2.6,1.3,25.1,4.4,1.5,...,28,28
Ecuador,B-,3,257217,16625,66.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118,119,16798,16189,609,-2201,1.6,63.7,1.9,133.1,21.1,9.2,1.7,5,1247,42
Egypt,B,4,1002000,97553,98,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,256.5,18.9,5.6,0.8,...,3509,36
El Salvador,B-,3,21041,6378,307.8,25850,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,111,117,5335,9855,-4519,-920,0.5,66.7,1.4,4.7,17,6.8,...,3.5,86,28
Estonia,AA-,15,45227,1310,30.9,22460,1.4,17112,3.4,27.4,69.2,3.8,29,67.3,7.2,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,84.2,3.2,6.4,3.3,5.5,242,193
Ethiopia,CCC+,2,1104300,104957,105,59917,9.6,602.8,40.5,16,43.5,70.5,8.4,21.1,5.7,158,157,1724,19121,-17397,...,2.6,19.5,4.9,745.7,45.8,4.9,...,4.5,1308,15
Fiji,BB-,6,18272,906,49.6,4391,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,88,88,926,2316,-1391,-72,0.7,53.7,1.5,~0.0,16,4.5,...,3.9,8,26
Finland,AA+,17,338440,5523,18.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22,73.8,8.9,101,101,57326,60502,-3176,-979,0.4,84.2,0.5,32.6,2.3,9.7,3,7.2,757,257
France,AA,16,551500,64980,118.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,103,103,488885,560555,-71670,-4861,0.4,79.5,0.8,356.2,3.4,11.5,3.2,5.5,5694,158
Georgia,BB,7,69700,3912,56.3,13965,2.8,3491.4,9,24.1,66.9,44.7,11.2,44.1,11.4,85,86,2114,7236,-5122,-1775,-1.4,53.6,-0.1,274.1,11.2,7.4,4.8,2,61,47
Germany,AAA,18,357376,82114,235.6,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,111,111,1340752,1060672,280080,279969,0.2,75.3,0.2,1052.1,3.4,11.3,4.1,5,5004,158
Ghana,B-,3,238537,28834,126.7,37156,3.9,1355.6,19,26.9,54.1,41.9,14.2,43.8,5.9,144,144,7221,11939,-4718,-2809,2.4,54,3.4,27.3,46.5,3.6,...,6.2,410,14
Greece,BB,7,131957,11160,86.6,194860,-0.2,17788,4.1,15.7,80.2,12.9,15,72.1,23,86,87,27811,47595,-19784,218,-0.4,78,0.5,94.7,3.3,8.1,6.3,...,368,89
Guatemala,BB-,6,108889,16914,157.8,63794,4.1,3903.5,10.8,27.2,62,32,18.5,49.4,2.4,158,158,10572,16987,-6415,-96,2.1,51.6,3.4,1.8,26.9,6.2,...,3,327,32
Honduras,BB-,6,112492,9265,82.8,20365,3.6,2521.9,13,25.1,61.9,29.4,21.6,49,5.6,122,119,3657,8448,-4791,-1291,1.8,54.7,3.1,176.2,27.8,8.7,...,5.9,105,28
Hungary,BBB,10,93024,9722,107.4,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,4.5,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,14.4,4.9,7.4,3.3,4.7,423,97
Iceland,A,13,103000,335,3.3,16780,4.2,50936,6.4,24,69.7,4,17.7,78.2,3.6,117,117,4450,5703,-1254,854,0.6,94.1,1.3,0.5,1.6,8.9,3.8,7.8,284,952
India,BBB-,9,3287263,1339180,450.4,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,211.1,41.3,4.7,0.7,3.8,23103,27
Indonesia,BBB,10,1910931,263991,145.7,861934,4.8,3346.5,14,41.3,44.7,31.4,22.4,46.2,5.8,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,13.8,25,2.8,0.2,3.6,19481,35
Iraq,B-,3,435052,38275,88.1,164234,-2.4,4509,4.6,58,37.4,20.4,21,58.6,16.1,123,123,27341,45831,-18490,4121,3.2,69.5,3,4736.2,32.1,5.5,0.9,-99,6744,58
Ireland,AA-,15,69797,4762,69.1,283716,26.3,60513.6,1,41.7,57.3,4.8,17.7,77.4,7.6,102,102,129315,76997,52318,28967,0.3,63.2,1.6,10.5,3.4,7.8,2.8,5.3,84,114
Israel,AA-,15,22072,8322,384.5,299413,2.5,37129.4,1.3,21.2,77.5,1,17.9,81,5.9,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,44.7,3.4,7.8,3.6,5.8,313,119
Italy,BBB,10,302073,59360,201.8,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,89,89,461529,404578,56951,29348,-0.1,69,0.4,216.7,3,9.2,3.9,4.1,1539,103
Jamaica,B+,5,10990,2890,266.9,14262,1,5105.8,7.1,22.3,70.5,17.9,15.3,66.8,13.1,102,102,1202,4767,-3565,-400,0.4,54.8,0.9,~0.0,15,5.4,...,5.5,8,37
Japan,A+,14,377930,127484,349.7,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3,96,97,644932,606924,38008,135608,-0.1,93.5,0.6,19.4,2.2,10.2,2.3,3.6,1114,146
Kazakhstan,BBB-,9,2724902,18204,6.7,181754,1.2,10312.1,5,32.5,62.5,18.1,20.4,61.6,5.6,126,127,36775,25175,11601,-5464,1.6,53.2,0.9,9.2,14.1,4.4,3.3,2.8,7091,193
Kenya,B,4,591958,49700,87.3,63399,5.6,1376.7,32,19,49,61.9,8.6,29.5,10.8,126,126,5688,14109,-8420,-6339,2.7,25.6,4.3,582.4,39.4,5.7,0.2,5.3,750,20
Kuwait,AA-,15,17818,4136,232.1,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199,199,46238,30825,15413,8584,5.4,98.3,3.6,94.7,8.4,3,1.9,...,6941,380
Latvia,A+,14,64573,1950,31.3,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23,69.7,9.6,130,130,11433,13596,-2163,-210,-1.2,67.4,-0.7,252.6,6.5,5.9,3.2,5.3,108,99
Lebanon,SD,0,10452,6082,594.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7,95,95,3402,20409,-17007,-8146,6,87.8,3.2,1054.2,9.2,6.4,2.4,2.6,7,55
Liechtenstein,AAA,18,160,38,237,6361,1.4,169491.8,0.7,40.1,59.2,-99,-99,-99,2.6,102,102,-99,-99,-99,-99,0.8,14.3,0.5,0.3,-99,-99,-99,2.6,1,74
Lithuania,A+,14,65286,2890,46.1,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,125,125,25025,27501,-2476,-977,-1.3,66.5,-0.5,4.7,4.4,6.6,4.3,4.6,74,98
Luxembourg,AAA,18,2586,584,225.3,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,98,98,12838,19124,-6285,2962,2.2,90.2,1.7,4.2,3.4,6.9,2.9,4.1,6,290
Malaysia,A-,12,330323,31624,96.3,296284,5,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122,130,189414,168375,21039,8960,1.8,74.7,2.7,238.6,6.5,4.2,1.3,5,3738,118
Malta,A-,12,315,431,1346.4,9747,6.2,23280.7,1.4,15,83.6,1.2,20.9,77.9,5.4,96,96,4039,7182,-3143,539,0.5,95.4,0.5,8.1,4.8,9.7,3.9,7.8,1,78
Mexico,BBB,10,1964375,129163,66.4,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,5.9,18.8,6.3,2.1,5.3,8514,62
Mongolia,B,4,1564116,3076,2,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,147,149,4917,3358,1559,-948,1.9,72,2.8,~0.0,22.8,4.7,2.9,4.6,677,84
Montenegro,B+,5,13812,629,46.8,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66,66,354,2263,-1908,-533,0.1,64,0.3,16,4.1,6.4,2.3,-99,29,64
Morocco,BBB-,9,446550,35740,80.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858,41696,-18838,-2161,1.4,60.2,2.3,6.4,28.1,5.9,0.6,...,78,23
Mozambique,CCC+,2,799380,29669,37.7,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,24,67.3,7,0.1,6.5,779,20
Netherlands,AAA,18,41542,17036,505.2,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,115,115,511714,420969,90745,65129,0.3,90.5,1,116.3,3.5,10.9,3.4,5.5,2447,178
New Zealand,AA+,17,268107,4706,17.9,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,116,118,33833,36423,-2589,-5501,1.1,86.3,1,1.7,4.4,11,2.9,6.4,783,207
Nicaragua,B+,5,130373,6218,51.7,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,-3701,-1045,1.2,58.8,2,0.6,20,9,0.9,...,91,26
Nigeria,B-,3,923768,190886,209.6,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,2437.5,76.3,3.7,...,-99,10851,32
Norway,AAA,18,386194,5305,14.5,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103,104,89120,72473,16647,33746,1.2,80.5,1.3,73.2,2.4,9.7,4.4,7.4,8204,233
Oman,B+,5,309500,4636,15,69832,5.7,15550.8,1.5,51.1,47.3,5,39.6,55.4,17.8,134,134,24455,23260,1195,-10807,6.5,77.6,8.5,0.6,9.6,3.6,1.5,5,3101,239
Pakistan,B-,3,796095,197016,255.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,2739.4,69.8,2.6,0.8,2.6,2202,17
Panama,BBB,10,75320,4099,55.1,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,21.5,15.2,8,1.6,3.2,31,35
Papua New Guinea,B-,3,462840,8251,18.2,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.5,84,83,8760,8874,-114,5326,2.2,13,2.1,9.7,49,4.3,...,-99,114,22
Paraguay,BB,7,406752,6811,17.1,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,0.2,28.8,9.8,1.3,5,325,38
Peru,BBB+,11,1285216,32166,25.1,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,2.5,18.6,5.5,1.1,4,1020,30
Philippines,BBB+,11,300000,104918,351.9,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,240.2,22.2,4.7,...,...,991,19
